,pro_id,name,cate,price,url,url_img,ecom
0,1,iPhone 16 Pro Max,dtdd,34.590.000₫,https://www.thegioididong.com/dtdd/iphone-16-pro-max,https://cdn.tgdd.vn/Products/Images/42/329149/iphone-16-pro-max-black-thumb-600x600.jpg,thegioididong
1,2,iPhone 16 Pro,dtdd,28.690.000₫,https://www.thegioididong.com/dtdd/iphone-16-pro,https://cdn.tgdd.vn/Products/Images/42/329143/iphone-16-pro-titan-sa-mac.png,thegioididong
2,3,iPhone 16 Plus,dtdd,25.590.000₫,https://www.thegioididong.com/dtdd/iphone-16-plus,https://cdn.tgdd.vn/Products/Images/42/329138/iphone-16-plus-trang-thumbtgdd-600x600.png,thegioididong
3,4,iPhone 16,dtdd,22.290.000₫,https://www.thegioididong.com/dtdd/iphone-16,https://cdn.tgdd.vn/Products/Images/42/329135/iphone-16-blue-600x600.png,thegioididong
4,5,Samsung Galaxy S24 Ultra 5G,dtdd,27.990.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-ultra-5g,https://cdn.tgdd.vn/Products/Images/42/307174/samsung-galaxy-s24-ultra-grey-thumbnew-600x600.jpg,thegioididong
5,6,Samsung Galaxy A16,dtdd,5.590.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-a16-8gb-128gb,https://cdn.tgdd.vn/Products/Images/42/331207/samsung-galaxy-a16-green-thumbnew-600x600.jpg,thegioididong
6,7,Samsung Galaxy A16 5G,dtdd,6.990.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-a16-5g,https://cdn.tgdd.vn/Products/Images/42/331204/samsung-galaxy-a16-5g-gold-thumbnew-600x600.jpg,thegioididong
7,8,Xiaomi Redmi Note 13,dtdd,4.390.000₫,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13,https://cdn.tgdd.vn/Products/Images/42/309831/xiaomi-redmi-note-13-gold-thumb-600x600.jpg,thegioididong
8,9,vivo V40 Lite 8GB/256GB,dtdd,7.590.000₫,https://www.thegioididong.com/dtdd/vivo-v40-lite-8gb-256gb?utm_flashsale=1,,thegioididong
9,10,Xiaomi Redmi Note 13 Pro,dtdd,5.690.000₫,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13-pro?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/42/314206/xiaomi-redmi-note-13-green-thumb-600x600.jpg,thegioididong
10,11,OPPO Reno12 5G 12GB/256GB Hồng,dtdd,11.690.000₫,https://www.thegioididong.com/dtdd/oppo-reno12-5g-12gb-256gb-hong,,thegioididong
11,12,OPPO A3x,dtdd,3.190.000₫,https://www.thegioididong.com/dtdd/oppo-a3x-4gb-64gb?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/42/328449/oppo-a3x-red-thumb-600x600.jpg,thegioididong
12,13,Xiaomi Redmi 13,dtdd,3.790.000₫,https://www.thegioididong.com/dtdd/xiaomi-redmi-13-6gb-128gb,https://cdn.tgdd.vn/Products/Images/42/325800/redmi-13-blue-thumb-600x600.jpg,thegioididong
13,14,Samsung Galaxy A55 5G,dtdd,10.890.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-a55-5g,https://cdn.tgdd.vn/Products/Images/42/322096/samsung-galaxy-a55-5g-xanh-thumb-1-600x600.jpg,thegioididong
14,15,Samsung Galaxy A06,dtdd,2.690.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-a06-4gb-64gb,https://cdn.tgdd.vn/Products/Images/42/328752/samsung-galaxy-a06-blue-thumb-1-600x600.jpg,thegioididong
15,16,realme Note 50,dtdd,2.090.000₫,https://www.thegioididong.com/dtdd/realme-note-50-64gb,https://cdn.tgdd.vn/Products/Images/42/321434/realme-note-50-blue-thumb-600x600.jpg,thegioididong
16,17,Xiaomi 14T 5G,dtdd,11.990.000₫,https://www.thegioididong.com/dtdd/xiaomi-14t-5g,https://cdn.tgdd.vn/Products/Images/42/329938/xiaomi-14t-grey-thumb-600x600.jpg,thegioididong
17,18,iPhone 15 Plus,dtdd,22.790.000₫,https://www.thegioididong.com/dtdd/iphone-15-plus,https://cdn.tgdd.vn/Products/Images/42/303891/iphone-15-plus-128gb-xanh-thumb-600x600.jpg,thegioididong
18,19,Xiaomi 14T Pro 5G,dtdd,15.490.000₫,https://www.thegioididong.com/dtdd/xiaomi-14t-pro-5g-12gb-256gb,https://cdn.tgdd.vn/Products/Images/42/329940/xiaomi-14t-pro-blue-thumb-600x600.jpg,thegioididong
19,20,realme Note 60,dtdd,2.990.000₫,https://www.thegioididong.com/dtdd/realme-note-60-4gb-64gb,https://cdn.tgdd.vn/Products/Images/42/329328/realme-note-60-black-thumb-600x600.jpg,thegioididong
20,21,iPhone 12,dtdd,11.590.000₫,https://www.thegioididong.com/dtdd/iphone-12,https://cdn.tgdd.vn/Products/Images/42/213031/iphone-12-xanh-la-new-2-600x600.jpg,thegioididong
21,22,Samsung Galaxy Z Fold6 5G,dtdd,41.990.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-z-fold6,https://cdn.tgdd.vn/Products/Images/42/320721/samsung-galaxy-z-fold6-xam-thumbn-600x600.jpg,thegioididong
